EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 0, 0, 2, 2, 0.032395, 1609970355.9452528954
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
1,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.032683, 1609970355.9449639320
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
2,,4, 1000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.000000, 
2,,4, 1000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.000000, 
